Label,Sentence
0,내가 힘들게 일궈 놓은 것이 나중에 물거품이 되는 것이 아까울 것 같긴 해 
0,근데 그건 어쩔 수 없는 거 같아 
0,어 허락을 해 주게 될지 왜냐하면
0,팀명이 장신 뭐 하여튼 그런 거야 모델 모델 장신들 
0,여자애들한테 잘 보이려고 하는 거야 
0,막 뭐 치즈나 이런 거 조금 조금 뭐 토핑들을 얹어 놓고 거기에 뭐 소스를 좀 첨가한다든지 그거잖아 
0,이 섭취를 해야 되는 양이 있기 때문에
0,한 번 더 설거질 하고 식기세척기까지 돌리는데
0,그때 많이 갔어 이제
0,그래서 나 같은 경우도 낮에 가서 사려고 하면 아까운 마음이 든다고 하나
0,아이돌을 이제
0,아 그래 어
0,그거 여석 쪼금밖에 안 줘 갖고
0,그래도 엄마 운전하고 다니면 불안해 해 
0,근데 이미 우리 집에 니트 엄청 많거든 
0,뭐 그 이전에 가족 관계가 어땠는지 중요할 거 같아 
0,신입 애들은 어디 가서 배우냐고 
0,간에도 부담되기도 하고
0,관심이 있는 주제에 대한
0,무슨 맛인데 
0,어떤 사람이
0,취업을 함에 있어서
0,에스케이 하이닉스를 내가 좀 비싸게 샀다가 물 타야 떨어질 때 물 계속 하다가 나중에는
0,네 저도 요즘 밀키트라
0,에이아이를 악용해서
0,아니 아니 나 진짜 나 가뜩이나 나는 대구 대군데 약간 좀
0,생각을 한 번 해 보는 걸로
0,나도 타고난 집순이고
0,따로 뭐 개발을 하는 사람이라든지 
0,항상 타는 게 타는 거라
0,부모님도 안 우시는데 우리가 울어서
0,커야 된다고 생각해서 지금 차도 작은 거 같고
0,그 팀들을 이제 살린다는 게 주어가 아닌
0,거기에 되게 많이 몰려 있어 
0,넷플릭스나 왓챠에
0,뭐 이렇게
0,그 이제 우리가 스포츠로 연결을 하고 음악으로 연결을 하고
0,회전 초밥이라고 불렀지 않냐 
0,내가 생각하지 않고 해보지 않은 거에 대해서
0,태권도 학과 
0,또 혈액 같은 거
0,근데 그 뒷모습이 너무 웃기고 귀엽더라고 빵댕이 흔드는 게
0,누구냐 이문세 콘서트 한 번 갔었어 
0,요즘 진짜 그렇게 살아 
0,만약에 독일 놀러 가게 되면
0,네가 근데 해피니스 비슷하다고 했을 때
0,보통 사 먹는 것보다는 좀 단가가 있다 
0,휴학을 하자 
0,어 나도 언젠가는
0,어 싼데 
0,막 이런 거 멸치 같은 거 있잖아 그런 거
0,집에 혼자 있거나 그러면은
0,나는 직접 보고 사는 것이 좋은 것 같아
0,그러니까 뭣
0,이제 위주로 연락하는 그런 거 같아요 
0,친구들이나 제사를 가는 친구들이 정말 많이 적어졌어 
0,같이 가도록 하자 
0,이런 얘기도 하고
0,아이까 한국인 말고
0,알지 알지 
0,나도 한 번 찾아봐야 되겠네
0,집은 그렇게 깨끗하지를 않고 그러니까 좋다는 건 아닌데 
0,물론 너는 대체 되는 거는 물론
0,강아지가 엄청 외롭잖아 그래서 좀 불쌍한 해 할 거 같긴 해 
0,그거 타고 저 뭐 대전 충청도까지 갈 수 있으니까 
0,이제 굳은살이 생겼을 때가
0,한 원쯤
0,근데 너 같은 경우는 잠은 잘 자 
0,지실 지시나 훈계를 통해서
0,편하게 다닐 거 같은데
0,부장님도 없어 사실 거기 호칭은 
0,정가 만 원
0,그래 그런 부분에 있어서 스포츠 선수들이 참 존경스러운 거 같아 
0,주변에서 쉽게 할 수 있는 데서
0,고양이는 약간 독립적이고
0,우리 놀 수 있는 그것도 이제 많이 안 남아 가지고
0,거의 막 꼬박꼬박 주 졸고
0,그래서 내가 네 집으로 가서
0,등 친환경 에너지를 이용한
0,지금 설계만 트램 호선 호선 호선 호선까지 나와 있거든 
0,더 잘할 수 있게 되는 게
0,그만큼 자기가 할 수 있는 그 어떤 정신적인 이런 체계를 무너뜨린다는 얘기지 
