Label,Sentence
0,적어도 내가 열심히
0,가신 분은 가셨는데 나는 여행 하나 
0,솔직히 걸그룹에서 년이면은
0,엄청 빨리
0,그 친가 댁에 먼저 갔다가 외가 댁에 가면은
0,취직하기 전까지
0,나는 아직 결정 못 했어 사실 
0,그렇지 아무래도 사람들이
0,내 자녀들도
0,내가 할 수 있다는 생각이 들든가 
0,어 결국은 피해 피해를 보는 당사자는
0,근데 그 선생님이 되게
0,또 사람마다 또 생각이 다르니까
0,아니 혹시 모르지 
0,공부하는 친구들이 되게 많았었던 거 같은데 그게
0,그때 나 네 삼각대 부셨잖아 
0,그 원자력 유출 사건 후쿠시마에서도 지금 뭐 유출 사건들 있어 가지고
0,이렇게 조금 약한 그러니까 쉽게 말해서 사소한 거에 대해서는
0,내가 과연 계좌번호를 거기다 기재를 굳이 해야 되나 
0,왜냐하면 쌀국수는 기본적으로 고급 음식이라곤 볼 수 없기 때문에
0,그러면은 자연스럽게 출산도 하기 싫어지고 뭐 결혼이야 뭐 나의
0,약간 어색하기도 하고
0,선정해서 하는 거 같아 
0,이모는 그 돈 모아서 그
0,친한 사람들끼리 모여서 결혼을 하고 싶다 
0,그런데 에이아이가 모두들 많이 나쁘다고들 하는데
0,인제 초등학교 친구들이
0,충분히 원자력 발전소가 없어도
0,이제 중고가로 팔 때 고려를
0,근데 이번에 그 무명 가수전 보니까
0,그럼 한 번 타요 
0,어쩔 수 없어서 그냥 넘어가도 괜찮게
0,보통 보면은 이강인이 약한 게
0,눈 깜빡 하니까 끝나 있는 거야 
0,아 다음 주에 생일 파티 
0,그게 오빠
0,요즘에 그
0,지하철 안에서 그렇다라고 얘기는
0,우리의 이런
0,응 근데 마을버스 같은 것도
0,초반에 과를 잘못 들어가서 너무 안 맞으니까
0,당일치기는 못 하나 
0,거기에 빨리 자리 잡는 게
0,어 내 키가 작잖아 아무튼 엄청 멋있었어 
0,설치를 해야 된다고 생각하고요 
0,전문적으로 하지는 않았지만
0,어 미스트롯 나는
0,이제 근데 고등학교 와서 까지도 안 바뀌고
0,어 걱정이 돼 그게 어떻게 해야 될지를
0,외모가 중요하다고 생각하시나요 아니면
0,엄청난 건데도 불구하고 애들이
0,근데 오빠는 좀 무리 하지 말아야지 어제도 아팠다고 그러니까
0,근데 어느 정도 사용할 땐 사용하고 안 할 때는 안 하고
0,그게 사이즈가 뭐 이게
0,또 지역 주민들은 반대까지 해
0,영향에 대해서
0,뭐 당연스럽게
0,엄청 내가 몸을 잘 만들지 않더라도
0,그것이 줄어들 거고
0,그 피해가 얼마 정도가 추정되는 지를 잘 측정해야 되는데
0,그리고 그 타기 전에 막
0,청결적인 이유도 그렇고
0,근데 에이아이가 지금은 솔직히
0,그러면 어
0,그렇지 옛날에 펀드처럼
0,아 비리지 않고 
0,아 진짜 그러면은 그게 편하겠다 
0,모든 여자들이 다 너의 돈을 보고 너를 좋아하는 게 아니고
0,자기랑 우리 같이 갔던 논현동에 있는 데가
0,일단 나는
0,그런 아이들은
0,세부적 그거를
0,아이들한테 현명하게 가르쳐 줄 수 있을까 
0,형제 우애가 좋아진 거야 
0,이제 의사 선생님이 다리도 많이 쓰면 안 된다 그랬고 
0,그냥 그럭저럭 그냥 입는다고 했어 
0,그래서 뭐라고 하면은 어 연장 근무 하는데 뭐 도시락은
0,그건 눈물이 나네 
0,그때 가서 파양할 수도 없고 버릴 수도 없고
0,파운데이션은 사고 싶은데 
0,버스 요금 하고 뭐 전철 요금 이라든지 이게 큰
0,곳을 지날 때
0,성별이 다른 친구지 
0,저녁은 어느 정도 좀 적게 먹는다 라든지 이런 걸 계속
0,중개업을 하는 게
0,대중음악에는 솔직히 이렇게 떨어지더라고
0,거는 박탈당해야 된다고 생각을 해 
0,있어야 한다고 생각해 
0,법제화를 할 필요가 있다고 생각을 나도 하는데
0,그래 맨날 그런 거 먹고 오잖아 
0,응 그게 미국에 있는 되게 큰 공항
0,지금 원자력으로 인해 먹고 살아가는 게 아니잖아 
0,이런 어떤 공부나 일에 대한 욕심이 있는 사람이기 때문에
0,두께가 일정하지가 않아 
0,옛날에 이제 우리 나이대는 경기가 하도 좋을 때였기도 한데 코로나도 없었고
0,나도 솔직히 근데 진짜 나도 축제도 너무 해보고 싶었고
0,그러니까 우리 맨
0,맨날 집에 있겠니 
0,어 맞아 
0,그러면은 그것 또한 문제가 발생할 수 있지 않을까 
0,이게 아니 뭐
0,근데 이제는
0,이런 재미없는 인생에
0,많이 나와 
0,그 비오가
0,아 요즘에 베이킹 쪽에 취미가 생겨 가지고
0,자기의 느낌이 나오니까 직업에 귀천은 없는데
0,하기 싫은데 이걸 또 시키네 하고 그
0,어 너
0,호아킨피닉스가 시련을 겪고
0,난 그분이 없었으면 그 회사에서 그렇게 왜
0,근데 할인 요새는 할인도 많이 해 주고 하니까
0,하고 싶어서
0,그러니깐 지금 위에 있는 사람들도 자기 거를 모르니까 
0,음식을 어떻게 했으면 좋겠어 
0,한 뭐 두세 번 설명해 줬는데 애가 또 모르는 눈치야 
